Entry_Date,Exit_Date,Ticker,Return,Bars_Held
2024-12-04,2024-12-10,HONASA.NS,-0.08291129894444692,4
2024-12-03,2024-12-11,GPIL.NS,0.18177355420781935,6
2024-12-05,2024-12-17,CHENNPETRO.NS,-0.07153880413222682,8
2024-12-04,2024-12-19,CGCL.NS,-0.06645577017851903,11
2024-12-04,2024-12-20,CREDITACC.NS,-0.0811310627905387,12
2024-12-05,2024-12-20,IDEA.NS,-0.08515839539101473,11
2024-12-06,2024-12-20,RBLBANK.NS,-0.12621473603927846,10
2024-12-03,2024-12-24,MAPMYINDIA.NS,0.05192238673080699,15
2024-12-11,2025-01-02,HONASA.NS,-0.04129167958914531,15
2025-03-21,2025-03-25,INDUSINDBK.NS,-0.07357245501968633,2
2025-03-19,2025-03-26,FIRSTCRY.NS,-0.06758709455016548,5
2025-03-20,2025-03-26,PFOCUS.NS,-0.078059362110239,4
2025-03-21,2025-03-26,INOXWIND.NS,-0.07311823298361948,3
2025-03-21,2025-03-26,SWIGGY.NS,-0.07742945461131362,3
2025-03-21,2025-03-26,ANANTRAJ.NS,-0.07891241336460524,3
2025-03-19,2025-03-27,IDEA.NS,-0.0708924700171014,6
2025-03-21,2025-03-27,ABREL.NS,-0.07902696856569441,4
2025-03-19,2025-03-27,NSLNISP.NS,-0.06283847148593609,6
2025-03-20,2025-03-28,TTML.NS,-0.07972336626376553,6
2025-03-24,2025-03-28,ZEEL.NS,-0.06789439977551093,4
2025-03-20,2025-04-01,MRPL.NS,0.1410088482755485,7
2025-03-27,2025-04-01,ANANTRAJ.NS,-0.06474424818511358,2
2025-03-21,2025-04-01,ATGL.NS,-0.0621226500088176,6
2025-03-20,2025-04-01,BEML.NS,0.15427456094891528,7
2025-03-21,2025-04-01,PRESTIGE.NS,-0.07342183940095354,6
2025-03-19,2025-04-03,TEJASNET.NS,0.23260063503302908,10
2025-03-19,2025-04-03,IGIL.NS,0.22673030969909647,10
2025-03-24,2025-04-03,KEC.NS,-0.09498183152308864,7
2025-03-20,2025-04-03,APARINDS.NS,-0.062046019163508485,9
2025-03-21,2025-04-04,NETWEB.NS,-0.06794475183080007,9
2025-03-21,2025-04-04,MOTILALOFS.NS,-0.0661183954149859,9
2025-03-21,2025-04-04,ELGIEQUIP.NS,-0.0957752039261134,9
2025-03-21,2025-04-04,BSOFT.NS,-0.09460696527475893,9
2025-03-21,2025-04-04,AARTIIND.NS,-0.08252237455112336,9
2025-03-21,2025-04-04,TBOTEK.NS,-0.07724771077086354,9
2025-03-20,2025-04-04,OIL.NS,-0.08673965142652942,10
2025-03-21,2025-04-04,HINDCOPPER.NS,-0.11260889898594315,9
2025-03-21,2025-04-04,TRITURBINE.NS,-0.08437008039799092,9
2025-03-20,2025-04-04,PVRINOX.NS,-0.0637473435055626,10
2025-03-20,2025-04-04,KEI.NS,-0.06998739644151823,10
2025-03-27,2025-04-04,FIRSTCRY.NS,-0.08091246626808062,5
2025-03-19,2025-04-04,SONATSOFTW.NS,-0.09627147626985662,11
2025-04-02,2025-04-07,UCOBANK.NS,-0.06691219228156185,3
2025-03-21,2025-04-07,IKS.NS,-0.07510202999640686,10
2025-03-21,2025-04-07,ITI.NS,-0.10710348048644426,10
2025-04-02,2025-04-07,CENTRALBK.NS,-0.06529736066319236,3
2025-03-21,2025-04-07,KPIL.NS,-0.10864724970519647,10
2025-03-21,2025-04-07,LODHA.NS,-0.06379911241328616,10
2025-03-21,2025-04-07,ANGELONE.NS,-0.0893044776772763,10
2025-03-21,2025-04-07,THERMAX.NS,-0.07039161677860797,10
2025-03-21,2025-04-07,NEULANDLAB.NS,-0.0714319176866303,10
2025-03-25,2025-04-07,EMCURE.NS,-0.06960411488307881,8
2025-03-21,2025-04-07,SUPREMEIND.NS,-0.0930256327342656,10
2025-03-21,2025-04-07,SUZLON.NS,-0.07852214279849973,10
2025-03-21,2025-04-07,TECHNOE.NS,-0.10162825956023565,10
2025-04-02,2025-04-07,IOB.NS,-0.07046295626296238,3
2025-03-21,2025-04-07,COCHINSHIP.NS,-0.0704940416276977,10
2025-03-21,2025-04-07,RVNL.NS,-0.07129195461528788,10
2025-03-20,2025-04-07,HFCL.NS,-0.08818086314007967,11
2025-03-21,2025-04-07,PREMIERENE.NS,-0.08022893995097016,10
2025-03-21,2025-04-07,HSCL.NS,-0.06690417498738466,10
2025-03-19,2025-04-07,IFCI.NS,-0.07922121834736348,12
2025-03-20,2025-04-07,MMTC.NS,-0.10235509917823615,11
2025-03-20,2025-04-07,SAMMAANCAP.NS,-0.07194384051880158,11
2025-03-21,2025-04-07,GRAVITA.NS,-0.11698738540433003,10
2025-03-21,2025-04-07,SCI.NS,-0.07260583170047173,10
2025-03-20,2025-04-07,NEWGEN.NS,-0.12541532763119165,11
2025-03-20,2025-04-07,JKTYRE.NS,-0.07925633803461013,11
2025-03-20,2025-04-07,FACT.NS,-0.09366439758880411,11
2025-03-20,2025-04-07,INTELLECT.NS,-0.09436231049388456,11
2025-03-19,2025-04-07,SWANCORP.NS,-0.09402883054893982,12
2025-03-20,2025-04-07,IRCON.NS,-0.09811161455678762,11
